traffic,listening_to_loud_music,flood,new_driver,rash,distraction,overloading,night_driving,bad_road,phone_use,high_way,urnban_city,excitement,tricycle_drivers,fatigue,alcohol,totalKilometers,harshBraking,frequency
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.8326616,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.3303281,185,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.357374635,68,11
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9.62377866,11,1
,,,,,,,,,,,,,,,,0,0,
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5.849510058,60,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.345970202,18,8
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47.69881894,312,7
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.31464169,123,29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,217.6040017,644,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65.1512372,313,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2176311,7,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.000579559,58,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.23361141,251,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66.14748162,265,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.79516858,146,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.456536457,4,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.730867218,12,16
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4.672501546,5,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.05200837,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.383827871,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.782718916,3,4
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.28039188,179,16
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.36348275,80,4
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,116.155787,780,7
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.126390761,4,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.288901512,4,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.20685818,5,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.46912804,39,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.736382225,38,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.61558065,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.40908398,637,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.561716115,53,12
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,86.43150735,549,6
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.91906022,64,3
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.586539952,5,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.937860706,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.60698567,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.852725524,18,6
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.220513814,3,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.039345509,24,4
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.59061146,5,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.431535792,1,2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.405685827,11,8
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,95.89385748,264,3
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.87037245,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.45538393,1,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.94771031,29,15
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.40875575,295,28
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.067839925,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.937596277,68,14
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.339980189,0,0
